advisor,advisor_churn,advisor_churn_type,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,channel_type,primary_prod_sold_va,primary_prod_sold_type,sf_email_campaigns,advisor_hh_children,va_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,wholesaler_i,wholesaler_name
34,0,no_advisor_churn,1,0,1,1,0,bank,0,fixed,1,3,884312443,18,50131,20,44,363887,81,3,750,2,B,Bost
35,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,3,1522346734,12,286999,2,50,195384,89,4,746,4,D,Devon
36,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,1,4,610176437,10,1417979,2,42,233957,91,2,723,7,G,Griegio
37,0,no_advisor_churn,0,1,1,0,1,wirehouse,0,fixed,6,6,949250513,21,79045,12,30,211786,90,2,654,5,E,English
38,0,no_advisor_churn,1,0,1,0,0,bank,1,va,4,3,525964018,54,608502,1,65,231843,96,3,756,18,R,Rodriguez
39,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,1,33379459,8,2198175,3,48,113000,90,1,729,25,Y,Yang
40,0,no_advisor_churn,1,1,0,1,0,bank,1,va,1,1,27178140,15,64582,3,19, ,86,3,710,1,A,Abbott
41,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,7,5,611287851,16,3963488,3,45,148561,72,2,814,15,O,Ojj
42,0,no_advisor_churn,1,0,0,1,0,bank,1,va,3,3,4522959823,10,1907740,2,45,162668,88,0,717,22,V,Vasquez
43,0,no_advisor_churn,0,1,1,0,0,bank,1,va,7,2,96721892,21,639400,2,42,141733,72,4,849,20,T,Tavares
44,0,no_advisor_churn,0,1,0,1,1,wirehouse,0,fixed,3,0,486849436,26,3938177,10,30,50874,95,3,601,20,T,Tavares
45,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,2,0,263961400,10,10793,2,37,113300,97,1,837,16,P,Patel
46,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,4,4,780969117,13,3974397,2,48,270499,69,1,652,21,U,Underwood
47,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,4,6,3834555344,10,4899772,2,63,268817,98,5,790,13,M,Mambwe
48,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,7,439128481,8,487963,3,43,245457,68,5,755,25,Y,Yang
49,0,no_advisor_churn,0,0,1,0,0,bank,0,fixed,4,3,890515385,14,368622,4,49,77095,62,5,666,9,I,Ingrid
50,0,no_advisor_churn,0,0,1,0,0,bank,1,va,7,3,33129213,13,433593,2,36,111870,95,4,663,10,J,Jasper
51,0,no_advisor_churn,1,0,1,0,0,bank,1,va,2,4,533465252,19,3159855,2,22,370078,85,1,805,14,N,Noth
52,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,5,4,1854375085,10,2902058,1,24,326311,77,1,701,24,X,Xavier
53,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,4,6,17669816,13,132711,1,27,236292,100,5,779,4,D,Devon
54,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,5,6,179170666,9,1576623,1,34, ,99,3,675,12,L,Lula
55,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,1,7,13556883,18,4306903,1,33,78426,78,1,790,17,Q,Quigley
56,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,1,3415767831,14,95675,1,37, ,91,4,785,4,D,Devon
57,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,5,1,1057005526,9,3090573,2,25,256357,76,1,735,18,R,Rodriguez
58,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,7,4,46980021,23,240230,2,28,123300,87,4,657,20,T,Tavares
59,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,0,2,523642225,9,323550,3,69,56564,98,5,751,21,U,Underwood
60,0,no_advisor_churn,0,1,1,0,0,bank,1,va,7,5,61165307,8,2355201,3,22,89145,82,4,719,11,K,Kanumba
61,0,no_advisor_churn,0,1,1,1,0,bank,1,va,3,2,1831500731,9,6084,2,27,143111,66,4,744,20,T,Tavares
62,0,no_advisor_churn,0,0,1,0,0,bank,1,va,1,7,790595408,8,4150012,1,19,246001,87,4,773,19,S,Szu
63,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,4,3,1972777446,7,4428900,2,46, ,92,3,737,16,P,Patel
64,0,no_advisor_churn,0,1,1,0,0,bank,1,va,4,3,3857790428,21,4823082,2,43,131701,83,2,734,11,K,Kanumba
65,0,no_advisor_churn,0,1,1,1,0,bank,1,va,2,5,401002909,16,4148039,3,20,67843,86,2,753,2,B,Bost
66,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,4,4,22227001,17,1668357,2,36,474679,82,3,727,12,L,Lula
67,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,3,7,46807952,14,4343599,2,50,134981,88,1,702,13,M,Mambwe
68,0,no_advisor_churn,0,0,0,0,0,bank,1,va,4,7,578475790,3,3519308,3,42,215575,72,3,785,15,O,Ojj
69,0,no_advisor_churn,1,1,1,1,0,bank,1,va,2,0,741938838,9,921309,2,68,286212,78,4,681,22,V,Vasquez
70,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,2,0,971075012,17,1399217,1,43,144352,69,2,767,23,W,Werner
71,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,4,1,51968072,17,147315,2,62,110962,48,4,816,1,A,Abbott
72,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,2,6,4357511597,9,3948128,2,41,129759,85,1,819,8,H,Hassan
73,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,1,1,20271490,10,4205581,3,47,227012,100,5,758,6,F,Funderburk
74,0,no_advisor_churn,1,0,1,0,0,bank,1,va,3,1,54648374,15,468865,1,50,358018,96,1,705,23,W,Werner
75,0,no_advisor_churn,1,1,0,0,0,bank,1,va,4,2,427857019,4,421382,1,22,67019,100,4,783,10,J,Jasper
76,0,no_advisor_churn,1,0,0,1,0,bank,1,va,3,6,13583995,17,2608115,3,49,59732,85,5,718,5,E,English
77,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,3,577135845,16,3923900,1,34,114324,92,5,764,25,Y,Yang
78,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,3,3,929881034,23,1948117,1,46,211574,84,5,782,25,Y,Yang
79,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,1,2,234009688,7,335500,1,52,132205,51,3,758,5,E,English
80,0,no_advisor_churn,1,1,0,0,0,bank,1,va,6,5,1807699517,5,151137,1,42,148909,59,5,730,3,C,Chatterji
81,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,7,0,4245105901,9,2276098,3,31,132759,100,3,701,15,O,Ojj
82,0,no_advisor_churn,0,0,1,0,0,bank,1,va,3,6,3170105967,17,1940545,2,31,265121,91,4,801,22,V,Vasquez
83,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,6,42332046,10,2211691,3,37,90859,87,3,718,17,Q,Quigley
84,0,no_advisor_churn,1,1,1,0,0,bank,1,va,5,3,456022740,17,987270,1,21, ,68,4,789,2,B,Bost
85,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,1,24998190,4,1249074,3,25,151266,54,1,846,17,Q,Quigley
86,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,7,6,51537020,16,1223648,1,61,60582,53,5,800,2,B,Bost
87,0,no_advisor_churn,0,0,0,0,0,bank,1,va,2,1,654508597,11,1085965,2,21,113916,59,5,711,12,L,Lula
88,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,5,0,57120804,14,955945,2,33,167676,95,2,715,17,Q,Quigley
89,0,no_advisor_churn,1,0,0,1,1,wirehouse,1,va,2,7,2863399507,9,5937,2,47,323411,51,0,752,13,M,Mambwe
90,0,no_advisor_churn,0,1,1,0,2,ria,1,va,2,3,348833356,10,2380348,1,21,471702,86,3,775,17,Q,Quigley
91,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,5,4991166969,7,494437,2,65,413272,57,3,565,16,P,Patel
92,0,no_advisor_churn,1,0,0,0,0,bank,1,va,4,1,207030714,6,163917,1,37,141707,85,3,777,15,O,Ojj
93,0,no_advisor_churn,1,0,1,1,0,bank,1,va,6,4,15060501,14,665012,3,20,470679,73,4,741,4,D,Devon
94,0,no_advisor_churn,0,0,0,0,2,ria,1,va,4,7,252015225,5,3946079,1,72,83028,61,2,743,23,W,Werner
95,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,2,3764450033,7,83950,3,39,246666,64,3,722,14,N,Noth
96,0,no_advisor_churn,0,0,1,1,2,ria,1,va,7,0,14624814,9,855087,1,57, ,78,3,792,22,V,Vasquez
97,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,1,6,752608309,12,4670977,2,82,101149,85,4,842,9,I,Ingrid
98,0,no_advisor_churn,0,0,0,0,0,bank,1,va,2,1,649071320,13,3112200,1,32, ,59,3,842,21,U,Underwood
99,0,no_advisor_churn,0,1,1,1,1,wirehouse,0,fixed,7,0,79149544,12,291737,9,85,59512,90,3,638,2,B,Bost
100,0,no_advisor_churn,0,0,1,0,2,ria,1,va,2,3,848887463,23,607361,2,25,61501,71,5,760,6,F,Funderburk
101,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,3,3,984612030,9,3631902,2,81,484043,71,5,651,1,A,Abbott
102,0,no_advisor_churn,0,0,0,1,1,wirehouse,1,va,5,2,1464680475,17,1559260,3,62,177857,76,1,742,7,G,Griegio
103,0,no_advisor_churn,0,1,0,0,2,ria,1,va,4,0,982413736,2,3036440,1,42,81292,100,4,712,24,X,Xavier
104,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,4,7,74376007,13,3417705,2,40,279904,88,1,790,17,Q,Quigley
105,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,3,4186557007,7,110941,1,37,60833,52,1,738,5,E,English
106,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,7,0,109132783,15,1992742,3,46, ,97,0,712,7,G,Griegio
107,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,1,4,812859061,8,1020366,3,34,121695,65,3,781,9,I,Ingrid
108,0,no_advisor_churn,1,1,1,1,0,bank,1,va,1,1,581962573,9,2817445,1,20,147401,96,5,768,12,L,Lula
109,0,no_advisor_churn,0,0,1,0,0,bank,1,va,5,4,671486295,24,3450088,3,21,257783,64,4,710,8,H,Hassan
110,0,no_advisor_churn,0,1,1,0,0,bank,1,va,0,7,130535264,9,4148292,3,77,126215,89,3,822,14,N,Noth
111,0,no_advisor_churn,1,0,1,0,0,bank,1,va,7,3,71403800,9,594309,1,68,129312,69,5,747,25,Y,Yang
112,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,5,4,292533558,18,4382563,3,26,129105,83,1,701,11,K,Kanumba
113,0,no_advisor_churn,0,1,1,0,0,bank,1,va,1,0,636406102,16,55126,2,40,297743,93,5,649,6,F,Funderburk
114,0,no_advisor_churn,0,1,1,0,1,wirehouse,0,fixed,7,4,3187102521,9,53356,6,51,63983,65,5,736,23,W,Werner
115,0,no_advisor_churn,0,0,1,1,0,bank,1,va,3,4,972894612,14,1134504,2,33,219406,73,4,784,1,A,Abbott
116,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,4,6,3674158285,19,455070,2,23,354621,54,3,702,23,W,Werner
117,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,1,1,543554464,14,4804258,3,40, ,88,3,759,2,B,Bost
118,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,7,0,486261885,17,69259,1,41,489488,60,4,680,12,L,Lula
119,0,no_advisor_churn,0,1,0,0,0,bank,1,va,1,6,3524307728,24,3733780,1,83,76528,92,3,750,24,X,Xavier
120,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,1,4,46318357,9,3774172,2,52,81287,76,4,700,24,X,Xavier
121,0,no_advisor_churn,1,1,1,1,0,bank,1,va,6,6,514328038,54,1761690,1,55,329154,100,5,710,23,W,Werner
122,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,4,5,601489620,17,99075,1,37,101155,84,3,806,7,G,Griegio
123,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,1,4,296160168,16,370074,2,61,95137,56,5,794,14,N,Noth
124,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,6,0,50380049,14,440659,1,27,291946,82,3,753,21,U,Underwood
125,0,no_advisor_churn,1,1,0,0,0,bank,1,va,6,7,4289002750,14,318067,3,45,255974,69,0,694,18,R,Rodriguez
126,0,no_advisor_churn,1,0,1,1,1,wirehouse,1,va,7,3,192289990,21,4572060,3,68,69203,82,0,831,14,N,Noth
127,0,no_advisor_churn,1,1,1,1,0,bank,1,va,2,7,395447578,23,31208,2,20, ,82,5,726,2,B,Bost
128,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,2,0,1171454571,20,96584,2,50,176705,99,0,747,18,R,Rodriguez
129,0,no_advisor_churn,0,1,1,1,2,ria,1,va,1,4,4296528313,9,4955752,1,20,53230,91,3,827,17,Q,Quigley
130,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,0,123191163,7,1968240,3,32,61210,90,1,618,15,O,Ojj
131,0,no_advisor_churn,0,1,0,1,0,bank,1,va,4,3,888819531,17,4821335,3,43,247725,90,5,815,8,H,Hassan
132,0,no_advisor_churn,0,0,1,0,0,bank,1,va,5,3,29074550,17,2690625,3,56, ,78,1,797,10,J,Jasper
133,0,no_advisor_churn,0,0,1,1,0,bank,1,va,4,3,76480454,12,3236869,3,35,150487,56,3,721,12,L,Lula
134,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,6,6,105726365,15,4338797,3,49, ,93,3,708,7,G,Griegio
135,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,6,4,2662755531,13,3274923,2,55,201998,96,4,738,4,D,Devon
136,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,1,25553621,9,117895,2,46, ,90,4,654,20,T,Tavares
137,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,3,1,556089463,16,4023853,1,46, ,83,3,701,20,T,Tavares
138,0,no_advisor_churn,0,0,1,0,0,bank,1,va,7,6,55229637,18,318485,3,21,186269,85,3,775,14,N,Noth
139,0,no_advisor_churn,0,0,1,1,0,bank,1,va,3,4,875049569,12,76215,2,47,262757,82,0,721,2,B,Bost
140,0,no_advisor_churn,0,1,0,0,1,wirehouse,0,fixed,2,6,11351884,14,3674759,4,39,410745,75,2,692,12,L,Lula
141,0,no_advisor_churn,0,0,1,0,0,bank,1,va,7,4,29885346,21,3921386,1,25,116875,82,3,753,14,N,Noth
142,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,3,7,946655561,15,4798596,3,37,72873,92,3,763,14,N,Noth
143,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,3,4,934621670,37,85320,3,37,245726,97,3,773,10,J,Jasper
144,0,no_advisor_churn,1,1,1,0,0,bank,1,va,7,3,95442920,17,54191,3,65,201125,84,3,778,9,I,Ingrid
145,0,no_advisor_churn,1,1,1,1,1,wirehouse,1,va,7,7,3683905916,23,112703,3,21,237082,97,3,715,4,D,Devon
146,0,no_advisor_churn,0,1,0,0,1,wirehouse,1,va,2,6,1210981844,7,486602,3,26,141959,86,4,843,10,J,Jasper
147,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,1,7,37456063,17,318978,2,80,283718,91,5,531,6,F,Funderburk
148,0,no_advisor_churn,1,0,1,1,1,wirehouse,0,fixed,2,0,235982159,4,1841009,14,37,153074,95,4,728,25,Y,Yang
149,0,no_advisor_churn,0,0,0,0,0,bank,1,va,1,2,616303311,20,4748078,3,32,199556,91,0,819,19,S,Szu
150,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,2,2,749756243,16,2307871,2,53,168076,84,3,754,12,L,Lula
151,0,no_advisor_churn,1,1,0,1,0,bank,1,va,4,4,2589593941,33,3342298,2,49,175388,84,4,653,13,M,Mambwe
152,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,1,1,191012003,11,3219874,2,52,184894,95,3,783,5,E,English
153,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,4,4,72692466,9,3558020,1,30,231760,100,5,789,24,X,Xavier
154,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,1,6,440989726,7,2663345,2,78,232254,91,1,794,16,P,Patel
155,0,no_advisor_churn,1,0,0,1,1,wirehouse,1,va,6,6,3948699476,10,2908438,3,25,158964,86,3,739,25,Y,Yang
156,0,no_advisor_churn,0,0,0,0,1,wirehouse,1,va,3,5,844388683,12,100374,2,44, ,68,4,756,16,P,Patel
157,0,no_advisor_churn,1,0,1,0,0,bank,1,va,1,0,138689624,10,3341520,2,43,226784,54,3,787,18,R,Rodriguez
158,0,no_advisor_churn,1,1,1,0,0,bank,1,va,3,4,55622963,35,56782,1,67,127275,81,3,751,20,T,Tavares
159,0,no_advisor_churn,1,1,1,0,1,wirehouse,1,va,1,5,51595994,16,9668,1,31,105257,53,1,756,14,N,Noth
160,0,no_advisor_churn,0,1,1,1,0,bank,1,va,6,6,62356439,4,1613223,3,22, ,71,5,751,12,L,Lula
161,0,no_advisor_churn,0,1,0,1,0,bank,1,va,7,3,789686660,14,1534669,3,26,81416,88,3,813,15,O,Ojj
162,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,7,6,296512428,18,2140840,1,41,151521,82,4,799,14,N,Noth
163,0,no_advisor_churn,0,0,0,0,0,bank,1,va,4,5,769964323,7,416806,2,22,129632,87,5,741,17,Q,Quigley
164,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,3,0,2285775118,8,1223592,2,39,120989,68,3,676,20,T,Tavares
165,0,no_advisor_churn,0,1,1,0,1,wirehouse,1,va,4,6,331847847,16,1165515,1,37,188779,73,4,790,21,U,Underwood
166,0,no_advisor_churn,0,1,1,0,2,ria,1,va,4,0,452071373,4,315597,1,79,358120,88,3,781,14,N,Noth
167,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,6,6,3195284731,9,12832,3,58,294887,87,5,760,9,I,Ingrid
168,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,1,6,26939958,21,3343338,3,49,74461,90,1,799,20,T,Tavares
169,0,no_advisor_churn,1,1,0,0,1,wirehouse,1,va,1,3,1251301044,15,4444926,2,31,241222,57,1,782,25,Y,Yang
170,0,no_advisor_churn,0,1,1,1,0,bank,1,va,3,3,57512102,10,2337545,2,49,492818,87,5,839,10,J,Jasper
171,0,no_advisor_churn,1,0,0,0,0,bank,0,fixed,1,0,905287847,11,25044,5,49,277785,62,3,701,9,I,Ingrid
172,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,7,1,92131500,22,2315140,2,42,203733,98,4,698,6,F,Funderburk
173,0,no_advisor_churn,0,1,1,0,2,ria,1,va,5,2,362105860,8,3274946,1,59,124332,79,1,672,23,W,Werner
174,0,no_advisor_churn,0,0,1,1,0,bank,1,va,2,5,945058156,9,3209770,2,88,105838,96,4,742,16,P,Patel
175,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,4,2,2018106681,18,53579,1,44,257782,83,4,735,5,E,English
176,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,1,899257297,12,2076481,1,42,318808,92,3,788,21,U,Underwood
177,0,no_advisor_churn,0,0,1,1,0,bank,1,va,2,7,245656445,11,69794,3,42,252943,77,4,800,10,J,Jasper
178,0,no_advisor_churn,1,1,0,1,0,bank,1,va,3,3,2637729214,16,3687995,2,61,183732,93,4,714,7,G,Griegio
179,0,no_advisor_churn,1,1,1,0,0,bank,1,va,3,0,924930941,15,410132,2,59,343154,75,5,759,4,D,Devon
180,0,no_advisor_churn,1,0,1,0,0,bank,0,fixed,6,2,50119527,18,60487,4,63,238848,96,1,763,2,B,Bost
181,0,no_advisor_churn,1,0,0,0,1,wirehouse,1,va,5,1,56929281,21,1335214,3,48,149792,64,3,783,14,N,Noth
182,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,2,5,1546948990,18,2133083,3,35,154756,60,4,786,21,U,Underwood
183,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,5,3,2877398805,11,71277,3,36,319336,85,4,770,24,X,Xavier
184,0,no_advisor_churn,1,0,1,0,1,wirehouse,1,va,4,2,144553121,16,4671714,3,35,378126,94,5,789,8,H,Hassan
185,0,no_advisor_churn,1,1,0,0,0,bank,1,va,5,3,3857752265,8,3880013,1,52,64061,90,3,850,16,P,Patel
186,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,3,1,1809875414,9,4440485,2,21,214374,81,4,759,5,E,English
187,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,4,4,620584962,11,313741,3,38,117208,99,1,773,5,E,English
188,0,no_advisor_churn,1,0,1,1,0,bank,1,va,5,1,955901999,55,1510501,1,30,67079,88,3,739,11,K,Kanumba
189,0,no_advisor_churn,0,0,1,1,1,wirehouse,1,va,6,3,836731775,16,326892,2,66, ,73,4,713,9,I,Ingrid
190,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,3,3,778527155,1,166272,1,33,494465,80,4,792,18,R,Rodriguez
191,0,no_advisor_churn,0,1,1,0,0,bank,1,va,2,4,399025046,16,4184138,1,47,196006,98,4,798,5,E,English
192,0,no_advisor_churn,1,0,0,1,1,wirehouse,1,va,7,6,925106532,16,4939184,1,22,421965,83,5,699,5,E,English
193,0,no_advisor_churn,0,1,1,0,0,bank,1,va,2,4,1135436793,24,64815,2,45,169715,76,1,770,17,Q,Quigley
194,0,no_advisor_churn,0,1,1,1,1,wirehouse,1,va,3,1,69265191,9,1373910,3,33,235996,77,2,704,10,J,Jasper
195,0,no_advisor_churn,0,0,1,0,1,wirehouse,1,va,4,0,267385992,6,123452,3,39,190558,73,3,712,15,O,Ojj
196,0,no_advisor_churn,0,0,1,0,0,bank,1,va,7,2,2649886407,16,1242598,2,36,298885,81,5,771,12,L,Lula
197,0,no_advisor_churn,1,1,1,1,0,bank,1,va,3,4,504996582,14,126084,2,22,113704,94,3,721,12,L,Lula
198,0,no_advisor_churn,1,0,1,0,0,bank,1,va,3,2,446551108,17,1901999,2,22,83120,97,4,797,19,S,Szu
199,0,no_advisor_churn,1,1,0,1,1,wirehouse,1,va,0,5,90967579,8,3360954,3,42,129684,86,5,784,25,Y,Yang
200,0,no_advisor_churn,1,0,1,0,0,bank,1,va,2,5,71451216,14,687401,3,33,271845,79,1,759,24,X,Xavier
201,0,no_advisor_churn,0,1,0,1,1,wirehouse,1,va,7,0,128078601,35,1847144,3,60, ,99,2,786,24,X,Xavier
